Gene	cluster
ATP5IF1	NA
ENSG00000270605	NA
SESN2	NA
MED18	NA
PHACTR4	NA
ENSG00000308327	NA
RCC1	NA
SNHG3	NA
ENSG00000279443	NA
TRNAU1AP	NA
SNHG12	cluster_4
TAF12	NA
RAB42	cluster_13
TAF12-DT	NA
ENSG00000270103	NA
GMEB1	NA
ENSG00000289291	NA
YTHDF2	NA
OPRD1	cluster_4
EPB41	NA
TMEM200B	NA
SRSF4	NA
MECR	NA
PTPRU	NA
MATN1	NA
MATN1-AS1	NA
LAPTM5	cluster_8
LINC01778	NA
SDC3	NA
PUM1	NA
NKAIN1	NA
SNRNP40	NA
ZCCHC17	NA
FABP3	cluster_8
SERINC2	cluster_8
TINAGL1	NA
PEF1	NA
PEF1-AS1	NA
COL16A1	cluster_13
ENSG00000295060	NA
ADGRB2	NA
SPOCD1	cluster_8
ENSG00000203620	NA
ENSG00000269967	NA
PTP4A2	NA
ENSG00000288678	NA
ENSG00000284702	cluster_11
KHDRBS1	NA
TMEM39B	NA
KPNA6	NA
ENSG00000250135	NA
TXLNA	NA
CCDC28B	NA
ENSG00000224066	NA
IQCC	cluster_13
DCDC2B	cluster_13
TMEM234	NA
EIF3I	NA
MTMR9LP	cluster_13
ENSG00000290045	NA
FAM167B	NA
LCK	cluster_13
HDAC1	NA
MARCKSL1	NA
ENSG00000305107	NA
ENSG00000305127	NA
ENSG00000233775	NA
TSSK3	NA
FAM229A	NA
BSDC1	NA
ENSG00000254553	NA
ZBTB8B	cluster_8
ZBTB8A	NA
ZBTB8OS	NA
ENSG00000294305	NA
RBBP4	NA
SYNC	NA
ENSG00000224409	NA
NHSL3	NA
YARS1	NA
S100PBP	NA
FNDC5	NA
HPCA	NA
TMEM54	NA
RNF19B	NA
ENSG00000300688	NA
AK2	NA
AZIN2	cluster_4
ENSG00000278997	NA
TRIM62	NA
ENSG00000279179	NA
ENSG00000305863	NA
ZNF362	NA
ENSG00000270115	NA
A3GALT2	NA
PHC2	NA
ZSCAN20	NA
CSMD2	NA
SMIM12	NA
GJB5	NA
DLGAP3	NA
ENSG00000284773	NA
GPR199P	NA
TMEM35B	NA
ENSG00000271741	NA
ZMYM6	NA
ZMYM1	NA
ENSG00000284640	cluster_8
SFPQ	NA
ZMYM4	NA
KIAA0319L	NA
NCDN	NA
TFAP2E-AS1	NA
TFAP2E	cluster_11
PSMB2	NA
C1orf216	NA
CLSPN	cluster_15
AGO4	NA
AGO1	NA
AGO3	NA
TEKT2	NA
ADPRS	NA
COL8A2	cluster_19
TRAPPC3	NA
MAP7D1	NA
ENSG00000301551	cluster_11
THRAP3	NA
SH3D21	NA
EVA1B	NA
ENSG00000286379	cluster_11
STK40	NA
ENSG00000300693	NA
ENSG00000300712	NA
LSM10	NA
OSCP1	NA
MRPS15	NA
CSF3R	NA
LITATS1	NA
ZC3H12A	cluster_11
MEAF6	NA
ENSG00000307694	NA
SNIP1	NA
DNALI1	NA
GNL2	NA
RSPO1	NA
AIRIM	NA
CDCA8	cluster_15
MANEAL	NA
YRDC	NA
C1orf122	NA
MTF1	NA
INPP5B	NA
SF3A3	NA
FHL3	NA
UTP11	NA
MIR3659HG	cluster_4
POU3F1	cluster_4
RRAGC	NA
ENSG00000273637	NA
RRAGC-DT	NA
MYCBP	NA
ENSG00000274944	NA
GJA9	NA
RHBDL2	NA
AKIRIN1	NA
ENSG00000308667	NA
NDUFS5	NA
MACF1	NA
BMP8A	NA
PPIEL	NA
PABPC4	NA
PABPC4-AS1	NA
HEYL	cluster_4
PPIE	NA
BMP8B	NA
TRIT1	NA
MYCL-AS1	NA
MYCL	NA
MFSD2A	NA
ENSG00000307734	NA
CAP1	NA
PPT1	NA
RLF	NA
ZMPSTE24-DT	NA
ZMPSTE24	NA
COL9A2	NA
SMAP2	NA
ENSG00000296912	NA
ZFP69B	NA
ENSG00000260920	NA
ENSG00000279667	NA
ZFP69	NA
EXO5-DT	NA
EXO5	NA
ZNF684	NA
RIMS3	cluster_19
NFYC-AS1	NA
NFYC	NA
KCNQ4	NA
CITED4	NA
CTPS1	NA
SLFNL1-AS1	cluster_8
SLFNL1	NA
SCMH1	NA
SCMH1-DT	NA
FOXO6	NA
EDN2	NA
HIVEP3	NA
FOXJ3	NA
RIMKLA	NA
ZMYND12	NA
PPCS	NA
CCDC30	NA
ENSG00000285728	NA
PPIH	NA
ENSG00000234917	NA
YBX1	cluster_15
CLDN19	NA
P3H1	NA
C1orf50	NA
ENSG00000283580	NA
TMEM269	NA
SVBP	NA
ERMAP	NA
ZNF691-DT	NA
ZNF691	NA
SLC2A1	cluster_8
SLC2A1-DT	NA
ENSG00000283973	NA
CFAP144	NA
EBNA1BP2	NA
CFAP57	NA
TIE1	cluster_15
MPL	NA
CDC20-DT	NA
CDC20	cluster_15
ELOVL1	cluster_8
MED8-AS1	NA
MED8	NA
SZT2	NA
SZT2-AS1	NA
HYI	NA
HYI-AS1	NA
PTPRF	NA
KDM4A	NA
ENSG00000284989	NA
KDM4A-AS1	NA
ST3GAL3	NA
ARTN	NA
LINC02918	NA
IPO13	NA
ENSG00000285649	NA
DPH2	NA
ATP6V0B	NA
B4GALT2	NA
CCDC24	NA
SLC6A9	cluster_13
ENSG00000230615	NA
KLF17	NA
ENSG00000302536	NA
DMAP1	NA
ERI3	NA
ERI3-IT1	NA
RNF220	NA
TMEM53	NA
ARMH1	NA
ENSG00000302489	NA
KIF2C	cluster_15
ENSG00000225721	NA
ENSG00000299627	NA
RPS8	NA
BEST4	NA
PLK3	cluster_8
ENSG00000290041	NA
BTBD19	NA
PTCH2	cluster_4
EIF2B3	NA
HECTD3	NA
UROD	NA
ZSWIM5	cluster_4
LINC01144	NA
HPDL	NA
MUTYH	NA
ENSG00000288208	NA
TOE1	NA
TESK2	cluster_11
CCDC163	NA
MMACHC	NA
PRDX1	NA
AKR1A1	NA
ENSG00000289407	NA
NASP	NA
CCDC17	NA
GPBP1L1	NA
TMEM69	NA
IPP	NA
ENSG00000230896	NA
ENSG00000302565	NA
MAST2	NA
PIK3R3	NA
P3R3URF-PIK3R3	NA
TSPAN1	NA
POMGNT1	NA
LURAP1	NA
RAD54L	cluster_15
LRRC41	NA
UQCRH	NA
NSUN4	NA
FAAH	cluster_4
ENSG00000291138	NA
MKNK1-AS1	NA
MKNK1	NA
MOB3C	cluster_13
ATPAF1	NA
EFCAB14	NA
CYP4A22-AS1	NA
STIL	NA
CMPK1	NA
LINC01389	NA
FOXE3	NA
FOXD2-AS1	cluster_19
FOXD2	NA
TRABD2B	NA
ENSG00000272491	NA
ENSG00000308343	NA
ENSG00000279214	NA
SPATA6	cluster_19
BEND5	cluster_19
DMRTA2	NA
FAF1	NA
CDKN2C	cluster_19
ENSG00000290102	NA
ENSG00000299346	NA
ENSG00000299324	NA
LINC01562	NA
RNF11	NA
TTC39A	cluster_8
ENSG00000294499	NA
EPS15	NA
OSBPL9	NA
NRDC	NA
ENSG00000266993	cluster_11
RAB3B	cluster_8
TXNDC12	NA
ENSG00000285839	NA
KTI12	NA
ENSG00000223390	NA
ENSG00000305195	NA
BTF3L4	NA
ENSG00000298098	NA
ZFYVE9	NA
CC2D1B	NA
ENSG00000272100	NA
ENSG00000287078	NA
ORC1	cluster_15
PRPF38A	NA
TUT4	NA
GPX7	NA
COA7	NA
ZYG11B	NA
ZYG11A	cluster_19
ECHDC2	NA
SCP2	NA
PODN	cluster_11
ENSG00000232993	NA
SLC1A7	cluster_11
ENSG00000235563	cluster_11
CPT2	NA
ENSG00000236723	NA
CZIB	NA
MAGOH	NA
MAGOH-DT	NA
LRP8	cluster_8
LRP8-DT	NA
DMRTB1	NA
GLIS1	NA
NDC1	NA
YIPF1	NA
IFT25	NA
LRRC42	NA
LDLRAD1	NA
TMEM59	NA
ENSG00000280378	NA
TCEANC2	NA
ENSG00000256407	NA
CYB5RL	NA
MRPL37	NA
SSBP3	NA
SSBP3-AS1	cluster_11
ACOT11	cluster_8
MROH7	NA
MROH7-TTC4	NA
TTC4	NA
PARS2	NA
DHCR24	cluster_8
DHCR24-DT	cluster_8
TMEM61	cluster_8
PCSK9	cluster_8
USP24	NA
ENSG00000298887	NA
MIR4422HG	NA
LINC01755	NA
ENSG00000298053	NA
ENSG00000297195	NA
ENSG00000297153	NA
ENSG00000297128	NA
ENSG00000260971	NA
ENSG00000284686	cluster_19
PLPP3	cluster_19
PRKAA2	NA
FYB2	NA
DAB1	NA
OMA1	NA
TACSTD2	NA
ENSG00000283445	NA
MYSM1	NA
JUN	cluster_13
JUN-DT	NA
ENSG00000290013	NA
LINC02777	NA
FGGY-DT	NA
FGGY	NA
HOOK1	NA
CYP2J2	NA
NFIA	cluster_13
TM2D1	NA
PATJ-DT	NA
PATJ	NA
USP1	NA
DOCK7	NA
DOCK7-DT	NA
ENSG00000306520	NA
ATG4C	NA
ITGB3BP	NA
FOXD3	NA
ALG6	NA
EFCAB7	NA
DLEU2L	NA
ENSG00000300414	NA
PGM1	NA
ENSG00000306886	NA
ROR1	NA
ROR1-AS1	NA
CACHD1	NA
RAVER2	NA
JAK1	NA
LINC01359	NA
AK4	cluster_4
DNAJC6	cluster_4
LEPROT	NA
LEPR	NA
PDE4B	NA
SGIP1	NA
DYNLT5	NA
INSL5	NA
DNAI4	NA
MIER1	NA
SLC35D1	NA
IL12RB2	cluster_4
SERBP1	NA
GADD45A	NA
GNG12	NA
ENSG00000308605	NA
GNG12-AS1	NA
DIRAS3	cluster_13
WLS	NA
ENSG00000305782	NA
ENSG00000307083	NA
DEPDC1	cluster_15
ENSG00000233589	NA
ENSG00000285041	NA
LRRC7	cluster_4
LRRC40	NA
SRSF11	NA
ANKRD13C	NA
ANKRD13C-DT	NA
CTH	NA
ENSG00000271992	NA
ENSG00000306574	NA
PTGER3	cluster_11
ZRANB2	NA
ZRANB2-DT	NA
NEGR1	cluster_8
LINC02796	NA
LRRIQ3	NA
FPGT-TNNI3K	NA
FPGT	NA
TNNI3K	NA
ERICH3	NA
ENSG00000272864	NA
CRYZ	NA
TYW3	NA
SLC44A5	cluster_11
ENSG00000293044	NA
ACADM	NA
RABGGTB	NA
MSH4	NA
ENSG00000225605	NA
ST6GALNAC3	cluster_19
ST6GALNAC5	NA
PIGK	NA
ENSG00000289212	NA
ENSG00000287870	NA
AK5	cluster_8
ZZZ3	NA
USP33	NA
MIGA1	NA
NEXN-AS1	NA
NEXN	NA
FUBP1	NA
DNAJB4	NA
GIPC2	NA
PTGFR	NA
IFI44L	NA
IFI44	cluster_13
ADGRL4	NA
ADGRL2	NA
TTLL7	NA
PRKACB-DT	NA
PRKACB	NA
SAMD13	NA
ENSG00000293445	NA
ENSG00000293446	NA
RPF1	NA
GNG5	NA
ENSG00000285851	NA
SPATA1	NA
CTBS	NA
ENSG00000284882	NA
ENSG00000289881	NA
SSX2IP	NA
ENSG00000305783	NA
LPAR3	cluster_4
MCOLN2	NA
DNAI3	cluster_4
MCOLN3	cluster_4
ENSG00000296416	NA
ENSG00000280099	NA
SYDE2	NA
ENSG00000296439	NA
C1orf52	NA
BCL10	NA
BCL10-AS1	NA
DDAH1	cluster_8
ENSG00000282057	cluster_5
ENSG00000272691	NA
CCN1	NA
ENSG00000310307	NA
ENSG00000310286	NA
ZNHIT6	NA
COL24A1	NA
LINC02795	NA
ODF2L	NA
CLCA2	cluster_4
CLCA4-AS1	NA
SH3GLB1	NA
SELENOF	NA
HS2ST1	NA
ENSG00000267561	NA
LINC01140	NA
LMO4	cluster_13
PKN2-AS1	cluster_13
ENSG00000286758	NA
PKN2	NA
GTF2B	NA
KYAT3	NA
RBMXL1	NA
GBP3	NA
GBP1	NA
GBP2	cluster_13
GBP4	NA
GBP5	NA
GBP1P1	NA
LRRC8B	NA
LRRC8C-DT	NA
LRRC8C	NA
ENSG00000271949	NA
LRRC8D-DT	NA
LRRC8D	NA
ENSG00000303043	NA
ENSG00000299996	cluster_15
ZNF326	NA
LINC02609	NA
ZNF644	NA
HFM1	NA
CDC7	NA
ENSG00000308368	NA
TGFBR3	cluster_19
BRDT	NA
ENSG00000289483	NA
EPHX4	NA
SETSIP	NA
BTBD8	NA
ENSG00000273487	NA
GLMN	NA
RPAP2	NA
GFI1	NA
EVI5	NA
RPL5	NA
DIPK1A	NA
MTF2	NA
TMED5	NA
CCDC18	NA
CCDC18-AS1	NA
DR1	NA
FNBP1L	NA
BCAR3	NA
ENSG00000260464	NA
DNTTIP2	NA
GCLM	NA
ABCA4	cluster_4
ARHGAP29	NA
ARHGAP29-AS1	NA
ENSG00000236098	NA
ABCD3	NA
F3	NA
ENSG00000288736	NA
SLC44A3-AS1	cluster_13
SLC44A3	NA
CNN3	NA
CNN3-DT	NA
ALG14	NA
TLCD4	NA
TLCD4-RWDD3	NA
RWDD3-DT	NA
RWDD3	NA
ENSG00000287919	NA
PTBP2	cluster_19
DPYD	NA
ENSG00000300799	NA
MIR137HG	NA
ENSG00000259946	NA
LINC01776	NA
ENSG00000294947	NA
SNX7	NA
PLPPR5	NA
PLPPR5-AS1	NA
PLPPR4	NA
PALMD	NA
FRRS1	cluster_19
AGL	NA
ENSG00000288826	NA
ENSG00000228084	NA
SLC35A3	NA
ENSG00000283761	NA
MFSD14A	NA
ENSG00000241073	NA
SASS6	NA
TRMT13	NA
LRRC39	NA
ENSG00000285530	NA
DBT	NA
RTCA-AS1	cluster_13
RTCA	NA
CDC14A	NA
GPR88	NA
ENSG00000285525	NA
VCAM1	NA
EXTL2	NA
ENSG00000273204	NA
SLC30A7	NA
DPH5	NA
DPH5-DT	NA
S1PR1-DT	NA
S1PR1	cluster_13
COL11A1	cluster_4
RNPC3	NA
AMY2B	NA
AMY1B	NA
THAP3P1	NA
ENSG00000294279	NA
PRMT6	NA
NTNG1	cluster_4
ENSG00000289612	NA
VAV3	cluster_4
SLC25A24	NA
ENSG00000260879	NA
EEIG2	cluster_13
HENMT1	NA
ENSG00000290126	NA
PRPF38B	NA
FNDC7	NA
STXBP3	NA
AKNAD1	NA
GPSM2	cluster_19
CLCC1	NA
WDR47	NA
TAF13	NA
TMEM167B-DT	cluster_8
TMEM167B	NA
ENSG00000270066	NA
SCARNA2	NA
ELAPOR1	NA
SARS1	NA
CELSR2	NA
PSRC1	cluster_19
MYBPHL	cluster_11
SORT1	NA
PSMA5	NA
SYPL2	cluster_4
ATXN7L2	NA
CYB561D1	NA
AMIGO1	NA
ENSG00000290117	NA
GNAI3	NA
ENSG00000225113	NA
GNAT2	NA
AMPD2	NA
ENSG00000228703	NA
GSTM4	NA
GSTM2	NA
GSTM1	NA
GSTM5	cluster_19
GSTM3	NA
CSF1	NA
AHCYL1	NA
STRIP1	NA
ENSG00000258634	NA
SLC6A17	cluster_4
KCNC4	cluster_4
RBM15-AS1	NA
RBM15	NA
LAMTOR5-AS1	NA
SLC16A4	NA
LAMTOR5	NA
KCNA2	NA
ENSG00000300042	NA
KCNA3	cluster_19
ENSG00000261654	cluster_11
LRIF1	NA
ENSG00000273010	NA
DRAM2	NA
CEPT1	NA
ENSG00000273221	NA
DENND2D	NA
CHI3L2	cluster_11
CIMAP3	NA
OVGP1	NA
ENSG00000260948	NA
ENSG00000243960	NA
WDR77	NA
ATP5PB	NA
C1orf162	NA
RAP1A	NA
LINC01160	NA
INKA2	cluster_8
ENSG00000298926	NA
INKA2-AS1	cluster_4
ENSG00000284830	NA
DDX20	NA
KCND3	cluster_4
LINC01750	cluster_8
LINC02884	NA
CTTNBP2NL	NA
WNT2B	cluster_11
ENSG00000273483	NA
ST7L	NA
CAPZA1	NA
MOV10	NA
RHOC	NA
ENSG00000271810	NA
PPM1J	NA
TAFA3	NA
SLC16A1-AS1	NA
SLC16A1	NA
LRIG2-DT	NA
LRIG2	NA
MAGI3	NA
PHTF1	NA
RSBN1	NA
AP4B1-AS1	NA
PTPN22	NA
BCL2L15	cluster_11
AP4B1	NA
DCLRE1B	NA
HIPK1-AS1	NA
HIPK1	NA
OLFML3	cluster_19
TRIM33	NA
BCAS2	NA
DENND2C	NA
NRAS	NA
CSDE1	NA
SIKE1	NA
TSPAN2	NA
NGF-AS1	NA
NGF	cluster_8
VANGL1	NA
SLC22A15	NA
MAB21L3	NA
ATP1A1	NA
ATP1A1-AS1	NA
ENSG00000224950	NA
CD58	NA
IGSF3	cluster_4
PTGFRN	cluster_4
CD101-AS1	NA
TTF2	NA
TRIM45	NA
VTCN1	NA
ENSG00000271427	NA
ENSG00000299021	NA
MAN1A2	NA
ENSG00000279513	NA
TENT5C	NA
GDAP2	NA
WDR3	NA
SPAG17	cluster_4
TBX15	NA
WARS2	NA
WARS2-AS1	NA
LINC00622	NA
ZNF697	NA
PHGDH	cluster_19
ENSG00000296692	NA
ENSG00000307777	NA
NOTCH2	NA
ENSG00000305980	NA
SEC22B	NA
ENSG00000305887	NA
ENSG00000290569	NA
ENSG00000306014	NA
NBPF8	NA
PFN1P2	NA
ENSG00000296642	NA
ENSG00000302906	NA
ENSG00000290999	NA
ENSG00000295970	NA
ENSG00000295994	NA
ENSG00000296013	NA
NOTCH2NLR	NA
NBPF26	NA
PPIAL4A	NA
LINC00623	NA
H2BP1	NA
FAM72B	NA
ENSG00000308561	NA
SRGAP2C	NA
LINC02798	NA
EMBP1	NA
ENSG00000294133	NA
ENSG00000290735	NA
H3-7	NA
FAM72C	NA
ENSG00000289318	NA
ENSG00000294260	NA
LINC02802	NA
NBPF15	NA
ENSG00000290121	NA
ENSG00000302082	NA
SRGAP2B	NA
ENSG00000297406	NA
FAM72D	NA
LINC01145	NA
ENSG00000297423	NA
ENSG00000281571	NA
NBPF20	NA
ENSG00000303404	NA
ENSG00000294282	NA
NBPF25P	NA
GPR89A	NA
PDZK1	NA
CD160	NA
RNF115	NA
ENSG00000301880	NA
POLR3C	NA
NUDT17	NA
PIAS3	NA
ANKRD35	NA
ITGA10	cluster_8
PEX11B	NA
ENSG00000289565	NA
GNRHR2	NA
RBM8A	NA
LIX1L-AS1	NA
ENSG00000280778	NA
LIX1L	NA
ANKRD34A	NA
ENSG00000278431	NA
POLR3GL	NA
TXNIP	cluster_13
LINC01719	NA
NBPF10	NA
NOTCH2NLA	NA
ENSG00000290578	NA
ENSG00000287978	NA
ENSG00000291242	NA
ENSG00000290557	NA
NBPF12	NA
ENSG00000310005	NA
PRKAB2	NA
ENSG00000293279	NA
ENSG00000237188	NA
FMO5	NA
CHD1L	NA
BCL9	NA
ENSG00000288626	NA
ACP6	NA
ENSG00000309595	NA
